label,sentence,clean_sentence,clean_data
ntr,"ntr  amra sobhai raji!!!
",sobhai raji,sobhai raji
ntr,"ntr  ajke ki amra jabo?
",ajke jabo,ajke jabo
ntr,"ntr  ajke ki argentine jitbe??
",ajke argentine jitbe,ajke argentine jitbe
pos,"pos  amra sobhai valo achi
",sobhai valo achi,sobhai valo achi
pos,"pos  ajke valo kaj hoyche
",ajke valo kaj hoyche,ajke valo kaj hoyche
pos,"pos  ekjon bangladeshi hisabe ami gorbitho
",bangladeshi hisabe gorbitho,bangladeshi hisabe gorbitho
neg,"neg  india re kau maira la
",india kau maira la,india kau maira la
neg,"neg  chore chore masthotho bhai
",chore chore masthotho bhai,chore chore masthotho bhai
neg,"neg  pic to dili na hala kmne kortam
",pic dili na hala kmne kortam,pic dili na hala kmne kortam
pos,"pos  taskin re rhakr jonno dhonnobhad.
",taskin rhakr jonno dhonnobhad,taskin rhakr jonno dhonnobhad
neg,"neg  uni ekta chor,batpar.
",uni ekta chorbatpar,uni ekta chorbatpar
neg,"neg  lok ta onk karp
",lok onk karp,lok onk karp
ntr,"ntr  Cashback pai nai kan nagad a
",cashback nagad,cashback nagad
ntr,"ntr  Ajk o ki mystery box er offer thakbe
",ajk mystery offer thakbe,ajk mystery offer thakbe
pos,"pos  Love daraz
",love daraz,love daraz
ntr,"ntr  13-12-22 nagad/bkash cash back ace?
",nagadbkash cash back ace,nagadbkash cash back ace
ntr,"ntr  daraz app a grameenphone a 122 taka recharge option /amount kothayy kivhbe ?
",daraz app grameenphone taka recharge option amount kothayy kivhbe,daraz app grameenphone taka recharge option amount kothayy kivhbe
pos,"pos  Tou up offer chai?
",tou up offer chai,tou up offer chai
neg,"neg  Amar to 12 12 miss
",amar miss,amar miss
ntr,"ntr  12, 12 order offer ki cash on delivery te pawa jabe?
",order offer cash delivery pawa jabe,order offer cash delivery pawa jabe
neg,"neg  Kon baler misty box?
",baler misty,baler misty
neg,"neg  58 theke try Kore o pelam na
",theke try kore pelam na,theke try kore pelam na
pos,"pos  Er modde lekha 4theke 5 ta
",modde lekha theke,modde lekha theke
neg,"neg  sme payment krte giye asb
",sme payment giye asb,sme payment giye asb
ntr,"ntr  2 ta ki dibe?
",dibe,dibe
ntr,"ntr  Ai tar mane ki
",mane,mane
